server_lr,client_lr,server_wd,client_wd,epoch,num_client,client_in,client_hgc,client_out,client_dropout,server_hgc,server_out,server_dropout,server_iter,time_out,time_lg,seed,time,device,ACC,AUC,SEN,SPE,F1
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_25_20_23_50,cuda,72.75862069,75.55621471,79.5035461,64.94135802,75.6463324
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_25_20_48_35,cuda,72.75862069,76.54001736,77.558911,67.15432099,75.37525641
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_25_21_13_44,cuda,72.06896552,75.6253384,77.55204759,65.65123457,74.8497261
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_25_21_39_01,cuda,72.29885057,74.78033497,76.92976436,66.91666667,74.80231578
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,5,64,2,1000,23_11_25_22_05_22,cuda,72.06896552,75.74993451,80.74811256,61.91049383,75.63934289
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,6,64,2,1000,23_11_25_22_30_12,cuda,71.83908046,75.15997254,80.77785404,61.45061728,75.38929713
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_25_22_56_15,cuda,71.6091954,75.20200603,80.56737589,61.2037037,75.25807353
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_25_23_20_50,cuda,71.72413793,75.70106743,77.57035003,64.93209877,74.61109255
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_25_23_45_45,cuda,71.6091954,75.63743836,74.57103638,68.14814815,73.77328508
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_26_00_11_16,cuda,72.64367816,75.44260449,78.42370167,65.92592593,75.47672247
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,5,64,2,1000,23_11_26_00_36_16,cuda,71.6091954,74.39835557,77.1356669,65.17283951,74.51067367
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,6,64,2,1000,23_11_26_01_01_58,cuda,71.83908046,74.53766883,76.50194464,66.41975309,74.36901723
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_26_01_23_00,cuda,72.55813953,75.87870826,82.47078074,61.05379747,76.32909019
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_26_01_36_36,cuda,72.90697674,76.16999359,82.68817204,61.53797468,76.60104223
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_26_01_50_37,cuda,72.3255814,75.75712562,82.67648434,60.2721519,76.25188776
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_26_02_04_34,cuda,72.20930233,76.15428787,79.02057036,64.33227848,75.2696103
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,5,64,2,1000,23_11_26_02_19_06,cuda,72.90697674,76.09288452,81.59887798,62.81012658,76.38734101
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,6,64,2,1000,23_11_26_02_33_27,cuda,72.55813953,76.56973621,82.23702665,61.28481013,76.27109467
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_26_02_48_16,cuda,71.82184874,75.65135799,79.29580534,63.26499032,74.93257506
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_26_03_02_06,cuda,72.17142857,76.10004813,79.46575606,63.76484006,75.28790942
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_26_03_16_18,cuda,72.29243697,75.41809886,79.04505506,64.52441187,75.22597522
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_26_03_30_45,cuda,72.74957983,75.37193176,78.80158448,65.76815789,75.51837911
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,5,64,2,1000,23_11_26_03_45_12,cuda,72.16470588,75.31412407,81.24638698,61.77757943,75.71576117
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,6,64,2,1000,23_11_26_03_59_42,cuda,72.28235294,75.93367889,79.46882155,64.0208446,75.40388609
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_26_04_14_39,cuda,71.26436782,75.35211417,79.40288264,61.73765432,74.59232294
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_26_04_28_39,cuda,72.29885057,75.89531099,79.85358042,63.50617284,75.54372237
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_26_04_42_46,cuda,72.29885057,75.60738972,81.143903,62.0154321,75.87543057
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_26_04_57_16,cuda,72.18390805,75.56086782,76.63692519,66.97222222,74.55504693
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,5,64,2,1000,23_11_26_05_11_51,cuda,72.18390805,75.17850183,76.87485701,66.75308642,74.80144033
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,6,64,2,1000,23_11_26_05_27_01,cuda,72.18390805,75.58765404,79.63852665,63.51234568,75.40802637
0.001,0.001,0.0005,0.0005,150,7,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_26_05_42_15,cuda,71.31428571,75.38455602,80.36045953,60.80499591,74.9473585
0.001,0.001,0.0005,0.0005,150,7,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_26_05_56_54,cuda,72.26190476,76.11225102,77.33471167,66.36438729,74.86287721
0.001,0.001,0.0005,0.0005,150,7,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_26_06_11_10,cuda,71.67142857,74.77987286,75.95883915,66.57152193,73.82565981
0.001,0.001,0.0005,0.0005,150,7,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_26_06_25_37,cuda,71.44285714,74.2362359,74.98884811,67.42404962,73.69259263
0.001,0.001,0.0005,0.0005,150,7,512,128,10,0.5,128,2,0.5,5,64,2,1000,23_11_26_06_40_23,cuda,71.2,73.97333784,81.51705096,59.24095283,75.14041983
0.001,0.001,0.0005,0.0005,150,7,512,128,10,0.5,128,2,0.5,6,64,2,1000,23_11_26_06_55_29,cuda,71.55238095,74.61534591,75.13690947,67.44247782,73.89978241
